target_pair,attribute_pair,PES,p_value
"East Asian+China+South Korea+Japan, African+Nigeria+Kenya","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",-0.8006428052420863,1.0
"East Asian+China+South Korea+Japan, African+Nigeria+Kenya","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.874441327677687,1.0
"East Asian+China+South Korea+Japan, African+Nigeria+Kenya","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",-0.8300220362929673,1.0
"East Asian+China+South Korea+Japan, African+Nigeria+Kenya","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",-0.45244824295514124,1.0
"East Asian+China+South Korea+Japan, African+Nigeria+Kenya","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.41388310785483196,0.9999999999982624
"East Asian+China+South Korea+Japan, African+Nigeria+Kenya","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.8209903590005659,0.0
"East Asian+China+South Korea+Japan, African+Nigeria+Kenya","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.09181849363883872,0.9784629016267596
"East Asian+China+South Korea+Japan, African+Nigeria+Kenya","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.7541301798972394,0.0
"East Asian+China+South Korea+Japan, African+Nigeria+Kenya","Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.8303251578918575,0.0
"East Asian+China+South Korea+Japan, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment",-0.9260656144207168,1.0
"East Asian+China+South Korea+Japan, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",-1.1453269700837934,1.0
"East Asian+China+South Korea+Japan, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.9674344313730847,1.0
"East Asian+China+South Korea+Japan, Indian+India","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",-1.1974416988046408,1.0
"East Asian+China+South Korea+Japan, Indian+India","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",-1.378929978044075,1.0
"East Asian+China+South Korea+Japan, Indian+India","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.5380533419198279,0.9999999999999194
"East Asian+China+South Korea+Japan, Indian+India","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.5331141921673997,0.0
"East Asian+China+South Korea+Japan, Indian+India","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",1.1409966291601816,1.516155337978711e-185
"East Asian+China+South Korea+Japan, Indian+India","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",1.066606369525885,0.0
"East Asian+China+South Korea+Japan, Indian+India","Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.6465714444790398,4.724237525548056e-184
"European+France+Germany+Italy+Switzerland, African+Nigeria+Kenya","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment",-0.08037462781726848,0.9511659476686246
"European+France+Germany+Italy+Switzerland, African+Nigeria+Kenya","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",0.30505860968772636,4.1492210120529466e-13
"European+France+Germany+Italy+Switzerland, African+Nigeria+Kenya","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",0.05417624791288209,0.09496818110343286
"European+France+Germany+Italy+Switzerland, African+Nigeria+Kenya","competitive spirit+leadership+critical thinking+public speaking+teamwork+resilience, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.3945520821226909,1.8804404306141007e-19
"European+France+Germany+Italy+Switzerland, African+Nigeria+Kenya","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality",0.4467398846196758,1.0531064114278301e-37
"European+France+Germany+Italy+Switzerland, African+Nigeria+Kenya","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",0.28164383134431564,2.9442238236259496e-09
"European+France+Germany+Italy+Switzerland, African+Nigeria+Kenya","Academic Excellence+achievement+personal discipline+dedication+rigorous+academic success+technical skills+collective commitment, social service+community involvement+cultural values+social awareness+responsibility+collective welfare",0.6199844903071086,0.0
"European+France+Germany+Italy+Switzerland, African+Nigeria+Kenya","creativity+cultural expression+artistic appreciation+personal expression+cultural themes+individuality, Athletic Excellence+Community Spirit+physical fitness+athletic achievements+teamwork+resilience+pride+disciplined+dedicated",-0.2948388778196638,0.9999999999999984
